id,职位,城市,学历,工作年限,薪资,第一标签,第二标签,第三标签,技能库,公司名称,融资阶段,公司规模
5826763,数据分析师,北京,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],团车网,上市公司,500-2000人
5545028,大数据分析师,北京,硕士,不限,15k-30k,产品|需求|项目类,数据分析,大数据,[],天眼查,A轮,150-500人
5984122,数据分析师,成都,本科,1-3年,8k-16k,产品|需求|项目类,数据分析,数据分析,"['数据运营', '数据分析']",乐信圣文,B轮,50-150人
5981918,数据分析,深圳,本科,1-3年,7k-10k,产品|需求|项目类,数据分析,数据分析,[],汇合,不需要融资,2000人以上
5804998,数据分析师,北京,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SPSS', 'SQL']",京东集团,上市公司,2000人以上
5827928,数据分析师（服装QC/QA） (MJ000855),广州,大专,3-5年,8k-15k,生产|加工|制造,服装|纺织|皮革,质量管理|验货员(QA|QC),[],SHEIN,C轮,2000人以上
5834471,数据分析（风控）,上海,本科,1-3年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['SQL', '数据分析']",淘集集,B轮,500-2000人
5985131,数据分析,深圳,大专,1年以下,7k-12k,产品|需求|项目类,数据分析,业务运营,"['数据运营', 'SPSS', 'SQL']",冰川网络,上市公司,500-2000人
5987853,数据分析师（大数据AI行业）,北京,本科,5-10年,20k-40k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SPSS']",绿湾,B轮,150-500人
5980882,数据分析师,北京,本科,1-3年,10k-18k,产品|需求|项目类,数据分析,数据分析,"['SQL', 'SPSS', '数据运营', '数据分析']",猫眼电影,未融资,500-2000人
4141349,数据分析,上海,本科,5-10年,20k-35k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SPSS']",拼多多,上市公司,2000人以上
5980388,数据分析师,深圳,本科,3-5年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SPSS', 'SQL', 'BI']",佰仟金融,不需要融资,2000人以上
5986263,数据分析师,上海,本科,1-3年,8k-16k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '商业', '数据运营']",韩创科技,不需要融资,500-2000人
5984592,数据分析师,北京,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SPSS']",七牛云,D轮及以上,150-500人
5993592,数据分析（埋点）,北京,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析', 'SQL']",蘑菇智行,A轮,150-500人
4192015,数据分析师（平台治理方向）,上海,本科,1年以下,15k-30k,开发|测试|运维类,数据开发,数据分析,"['数据挖掘', '数据分析']",拼多多,上市公司,2000人以上
5991773,数据分析,上海,本科,3-5年,8k-12k,运营|编辑|客服类,运营,数据运营,[],眸事网,天使轮,150-500人
4876647,数据分析师,北京,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['SPSS', 'DBA', 'SQL', '数据库']",必要商城,不需要融资,150-500人
5988545,数据分析,深圳,本科,3-5年,10k-15k,产品|需求|项目类,数据分析,数据分析,[],采筑,天使轮,50-150人
5987772,数据分析,杭州,本科,1-3年,8k-13k,产品|需求|项目类,数据分析,数据分析,"['SQL', 'SPSS']",信用管家,不需要融资,150-500人
5993783,数据分析师,广州,本科,3-5年,20k-30k,产品|需求|项目类,数据分析,数据分析,"['BI', '可视化', '数据分析', '数据库']",蜜源新媒体,不需要融资,150-500人
5993460,数据分析师,杭州,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],霖梓控股,B轮,150-500人
5880792,数据分析师,厦门,本科,1-3年,8k-16k,产品|需求|项目类,数据分析,数据分析,['数据分析'],多快好省,不需要融资,50-150人
5568954,数据分析师(J10040),上海,本科,1-3年,8k-10k,运营|编辑|客服类,运营,电商运营,[],上海百秋,未融资,500-2000人
5990110,数据分析师,北京,本科,3-5年,15k-25k,开发|测试|运维类,数据开发,数据分析,['MySQL'],人人贷,A轮,2000人以上
5993740,数据分析师,上海,本科,1-3年,15k-25k,产品|需求|项目类,数据分析,数据分析,"['SQL', '数据分析']",趣头条,上市公司,500-2000人
5993390,数据分析师,北京,本科,3-5年,10k-15k,开发|测试|运维类,数据开发,数据分析,"['数据分析', '数据处理', '数据库开发']",新意互动,上市公司,500-2000人
5992365,数据分析师,上海,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,"['BI', 'SQL', '数据库', '数据分析']",驰骛科技ChiefClouds,A轮,50-150人
5990197,数据分析师,上海,本科,3-5年,15k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],么么直播,不需要融资,50-150人
5989991,数据分析师,北京,本科,1-3年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['SQL', '数据分析']",玖富集团,D轮及以上,2000人以上
5566843,数据分析师,上海,硕士,1-3年,20k-40k,产品|需求|项目类,数据分析,数据分析,"['数据分析', 'SQL']",拼多多,上市公司,2000人以上
5992997,数据分析师,杭州,本科,1-3年,8k-15k,产品|需求|项目类,数据分析,数据分析,"['数据运营', 'SQL', '数据库', '商业']",霖梓控股,B轮,150-500人
5993734,数据分析师,上海,本科,3-5年,15k-30k,开发|测试|运维类,数据开发,数据分析,"['数据分析', '数据处理']",趣头条,上市公司,500-2000人
5978750,数据分析师（保险）13-01-19,杭州,本科,3-5年,18k-30k,开发|测试|运维类,数据开发,数据分析,"['MySQL', '数据挖掘']",大搜车,D轮及以上,2000人以上
5979794,数据分析师（硕士）,韶关,硕士,1年以下,6k-10k,开发|测试|运维类,数据开发,数据分析,"['数据分析', '数据库开发', 'MySQL']",精点数据,不需要融资,150-500人
4979094,数据分析师（市场）,北京,本科,5-10年,20k-30k,市场|商务类,市场|营销,商业数据分析,"['市场', '数据分析']",京东集团,上市公司,2000人以上
5979170,数据分析师,北京,本科,1-3年,10k-15k,产品|需求|项目类,数据分析,数据分析,"['SPSS', 'SQL', '数据分析']",易点租,D轮及以上,500-2000人
4704007,数据分析师,宁波,本科,1-3年,14k-25k,产品|需求|项目类,数据分析,数据分析,['数据分析'],草料二维码,未融资,50-150人
5978715,数据分析,杭州,大专,1-3年,6k-8k,产品|需求|项目类,数据分析,数据分析,[],华苏科技,上市公司,2000人以上
5940191,数据分析师,上海,本科,1-3年,10k-20k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '商业']",房多多,C轮,2000人以上
5978724,数据分析,郑州,本科,3-5年,8k-16k,产品|需求|项目类,数据分析,数据分析,"['数据库', 'BI', 'SQL']",富士康科技集团,上市公司,2000人以上
5768884,数据分析师（商品） (MJ000834),南京,本科,不限,4k-7k,市场|商务类,市场|营销,商业数据分析,['数据分析'],SHEIN,C轮,2000人以上
5984608,数据分析师,北京,大专,不限,9k-12k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', 'SQL', '数据库']",彩讯股份,上市公司,500-2000人
5982758,数据分析师,上海,本科,3-5年,15k-30k,开发|测试|运维类,数据开发,数据分析,[],问卷网@爱调研,B轮,150-500人
5858880,数据分析师,上海,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,业务运营,"['数据分析', '增长黑客', 'BI']",叮咚买菜,B轮,2000人以上
5732360,数据分析师,上海,本科,3-5年,15k-30k,产品|需求|项目类,数据分析,数据分析,[],拼多多,上市公司,2000人以上
4750004,数据分析师（揭阳驻点）,揭阳,本科,1-3年,4k-6k,开发|测试|运维类,数据开发,数据分析,"['Oracle', '数据分析']",精点数据,不需要融资,150-500人
5656395,数据分析师,北京,本科,3-5年,9k-15k,产品|需求|项目类,数据分析,数据分析,"['数据分析', '数据运营', 'SQL']",京东集团,上市公司,2000人以上
5959421,数据分析师 (MJ000983),深圳,本科,1-3年,8k-15k,市场|商务类,市场|营销,商业数据分析,['数据分析'],SHEIN,C轮,2000人以上
